,job,location,date,company
0,"Wanted to work - Aviation employee with experience in (Galileo) ,to work of reissue and tickets refund . - Representative.  Please send your CV for these specialties only to info@travel-pegasus.com ki","Qesm 1st Nasser City, Le Caire, Égypte Hybride",Il y a 4 semaines,Travel Pegasus
1,"Analyst (Bangkok Based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
2,Back End Team – Engineer (Bangkok based – Relocation provided),"Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
3,Marketing Executive,"Nouveau Caire, Le Caire, Égypte Sur site","Il y a 5 heures

                Au cours des 24 dernières heures",JAKAMEN Egypt
4,"Technical Support Engineer, Trilogy (Remote) - $60,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Crossover for Work
5,"Senior Analyst (Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,Agoda
6,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
7,Back End Team – Engineer (Bangkok based – Relocation provided),"Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
8,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
9,"Business Support Assistant - Operational Information Management (SSA, L5), Cairo, Egypt","Le Caire, Égypte Sur site",Il y a 2 semaines,World Food Programme
10,Projects Order Booking Admin,"Le Caire, Le Caire, Égypte Sur site",Il y a 2 semaines,KONE
11,"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
12,Back End Team – Engineer (Bangkok based – Relocation provided),"Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
13,"Senior Analyst (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 1 semaine,Agoda
14,Financial Manager,"Le Caire, Égypte Sur site","Il y a 11 heures

                Au cours des 24 dernières heures",Network Recruitment
15,Project Manager,"New Heliopolis, Le Caire, Égypte Sur site",Il y a 1 semaine,Honeywell
16,"Senior Analyst (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 1 semaine,Agoda
17,PHP Tech Lead,"Le Caire, Égypte Hybride",Il y a 1 mois,Jumia Group
18,"Analyst/ Sr Analyst, Marketing (Bangkok Based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,Agoda
19,Database Administrator,"Le Caire, Égypte Sur site",Il y a 1 semaine,Ansme
20,Venture Portfolio Platform Manager,"Alexandrie, Alexandrie, Égypte À distance",Il y a 5 jours,Circle
21,Storage Administrator,"Le Caire, Le Caire, Égypte Sur site",Il y a 2 semaines,Publicis Media
22,"Front End Engineer – Data Experience Team (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
23,"Data Engineer – Apache Spark (Java/Scala) (Bangkok based, Relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
24,"Software Quality Assurance Engineer, Virtasant (Remote) - $60,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Crossover for Work
